;SEX;AGE;BMI;REA;ECMO1;ECMO2;ECMO3;ECMO4;SHOCK;PERFl;PERFr;CAD2;CAD3;CLlca;CLlcx;CLrca;CLlad;TFBAN;KM;RADT;FDP;DBT;CKadm;CKmax;CKMBa;CKMBm;TROPa;TROPm;KREAa;KREAm;BNP;LDHa;LDHm;ADP;LDL;TRIGL;HBA1C;LPa;LACa;LACm;HoINT;HTN;HLP;DM;FAMH;NIC1;NIC2;LVEF_dis
513;0;78.04;27.76;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;60.0;2.7;1056.0;0.67;169.0;180.0;0.0;30.0;5.35;5.83;2.7;4.0;;408.0;408.0;15.0;109.0;109.0;6.8;;0.9;1.3;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.25
514;0;54.05;23.44;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;120.0;8.39;1123.0;0.73;162.0;684.0;;103.0;0.013;1.85;0.9;1.0;;185.0;243.0;16.0;124.0;172.0;5.9;12.5;1.1;1.1;0.0;0.0;;0.0;0.0;1.0;0.0;0.612
515;0;56.04;23.04;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;140.0;2.5;1408.0;29.15;92.0;3706.0;0.0;255.0;25.0;25.0;0.9;1.0;;832.0;832.0;14.0;106.0;102.0;6.0;32.5;0.86;1.07;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5
516;0;34.84;24.69;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;240.0;8.26;2667.0;1.63;238.0;2773.0;24.0;230.0;0.3125;25.0;1.0;1.1;;315.0;315.0;22.0;142.0;123.0;5.3;40.0;0.8;2.1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.6
517;1;67.16;39.06;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;200.0;16.0;5725.0;1.87;97.0;112.0;0.0;0.0;0.1875;0.28;1.1;1.1;;205.0;205.0;15.0;;;5.6;;4.0;6.35;0.0;1.0;0.0;0.0;1.0;;;0.4
518;1;60.99;19.47;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;150.0;8.08;2196.0;1.13;51.0;1230.0;0.0;103.0;0.038;1.29;0.5;0.7;1060.0;145.0;171.0;44.0;122.0;42.0;5.5;17.5;0.8;1.5;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.6
519;0;67.87;29.19;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;200.0;6.52;2667.0;2.58;134.0;;0.0;;0.132;;1.0;1.0;;;;;60.0;114.0;6.3;;;;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.5
520;0;83.06;24.49;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;222.0;11.2;2006.0;0.57;125.0;127.0;0.0;0.0;0.468;0.913;1.0;1.3;569.0;209.0;209.0;16.0;111.0;90.0;6.9;15.0;1.2;1.2;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6
521;1;82.04;23.44;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;180.0;12.02;1390.0;0.95;137.0;1614.0;0.0;161.0;0.091;7.51;1.3;1.6;4761.0;287.0;287.0;44.0;70.0;71.0;;;1.3;3.2;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4
522;0;65.8;24.97;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;300.0;14.18;2357.0;0.4;877.0;2206.0;106.0;259.0;1.56;7.61;1.0;1.1;2258.0;324.0;818.0;;;;;;3.5;3.5;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.4
523;1;55.82;27.34;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;250.0;9.0;990.0;0.62;1558.0;3170.0;151.0;277.0;0.1025;25.0;1.0;1.0;;338.0;338.0;1.0;163.0;161.0;5.5;332.5;;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.55
524;0;74.48;35.83;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;13.3;;1.18;6.0;514.0;0.0;77.0;0.0775;13.275;0.8;0.9;;122.0;238.0;;37.0;242.0;;;5.26;5.26;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.45
525;0;46.93;29.39;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;180.0;6.7;1530.0;;14177.0;14177.0;888.0;888.0;42.2;42.2;1.2;4.6;;2834.0;2834.0;16.0;;;;;7.9;9.1;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.3
526;0;66.82;32.41;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;530.0;34.0;11344.0;1.43;1410.0;3866.0;128.0;332.0;0.6775;25.0;1.1;1.8;52.0;201.0;419.0;1.0;103.0;82.0;8.8;15.0;4.62;4.62;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.45
527;1;84.08;22.55;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;300.0;14.4;2924.0;1.4;921.0;2497.0;76.0;169.0;4.875;25.0;1.0;1.0;251.0;220.0;220.0;11.0;88.0;76.0;6.2;92.5;1.01;1.37;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.6
528;1;79.81;20.76;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;190.0;7.52;1482.0;0.98;116.0;2380.0;36.0;332.0;0.202;1.14;1.1;1.1;;321.0;778.0;9.0;117.0;151.0;5.6;;1.2;4.2;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.5
529;0;81.36;24.38;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;170.0;33.36;11101.0;1.75;703.0;3734.0;98.0;508.0;0.811;25.4;1.9;3.2;19268.0;261.0;682.0;12.0;128.0;;;;3.3;4.9;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.39
530;0;59.18;31.53;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;210.0;20.1;10603.0;1.02;63.0;953.0;0.0;98.0;0.659;10.4;0.9;1.1;;256.0;256.0;15.0;189.0;159.0;6.3;12.5;1.8;1.8;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.45
531;1;49.81;20.48;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;200.0;15.18;2510.0;0.68;300.0;316.0;40.0;43.0;11.8;11.8;0.7;0.7;;321.0;321.0;20.0;150.0;222.0;3.8;175.0;2.12;2.2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.6
532;0;60.09;29.17;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;160.0;10.57;2609.0;0.6;1415.0;2554.0;183.0;303.0;4.52;;0.9;1.0;;475.0;;13.0;110.0;89.0;5.3;170.0;1.6;2.2;0.0;1.0;;;;1.0;0.0;0.6
533;0;93.39;22.49;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;200.0;12.15;3264.0;1.4;94.0;94.0;0.0;0.0;0.041;0.068;1.4;1.6;;205.0;336.0;18.0;79.0;100.0;;172.5;1.3;1.7;1.0;1.0;1.0;;0.0;0.0;0.0;0.5
534;1;70.42;25.39;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;170.0;8.0;991.0;0.53;269.0;581.0;37.0;100.0;24.075;9.625;0.8;0.9;;178.0;178.0;20.0;112.0;160.0;5.7;92.5;2.22;2.22;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.4
535;0;51.7;36.23;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;150.0;6.44;4160.0;1.53;271.0;508.0;25.0;63.0;0.137;0.847;1.1;1.1;;271.0;350.0;14.0;155.0;211.0;6.3;25.0;1.0;1.8;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.55
536;0;83.33;31.14;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;130.0;12.4;3660.0;;720.0;1258.0;53.0;138.0;3.42;6.0;1.6;1.6;2275.0;613.0;942.0;30.0;53.0;96.0;5.6;;8.5;8.5;0.0;1.0;1.0;0.0;;;;0.4
537;0;50.17;24.22;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;400.0;16.3;1477.0;;248.0;638.0;30.0;87.0;0.266;0.952;0.8;0.8;;316.0;;9.0;91.0;48.0;5.9;;0.5;1.0;0.0;;;;;;;0.62
538;0;81.84;28.7;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;260.0;10.23;2755.0;2.1;113.0;261.0;15.0;28.0;0.034;0.048;1.0;1.1;873.0;198.0;288.0;3.0;134.0;42.0;6.0;;2.9;2.9;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.55
539;0;37.4;38.06;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;200.0;10.45;4251.0;1.03;265.0;265.0;18.0;25.0;0.023;0.084;1.0;1.0;;265.0;265.0;12.0;140.0;178.0;5.7;;1.0;1.0;0.0;0.0;;0.0;1.0;1.0;0.0;0.6
540;0;61.02;31.56;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;180.0;6.35;3774.0;0.5;128.0;367.0;0.0;75.0;0.013;0.173;0.7;0.9;1299.0;210.0;420.0;20.0;77.0;124.0;;;0.9;1.8;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5
541;0;62.11;35.51;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;250.0;16.57;5465.0;0.37;117.0;798.0;0.0;95.0;0.019;1.76;1.0;1.0;;280.0;380.0;24.0;;71.0;;;1.8;1.8;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.4
542;0;63.0;39.44;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;180.0;24.19;6530.0;1.13;96.0;359.0;0.0;41.0;0.013;0.579;1.1;1.4;484.0;184.0;406.0;23.0;69.0;105.0;6.1;323.0;1.9;1.9;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5
543;0;69.31;23.77;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;250.0;16.22;2952.0;0.55;2401.0;2805.0;133.0;245.0;7.5;7.5;1.0;1.0;;892.0;893.0;;;;;;;;0.0;1.0;1.0;0.0;0.0;;;0.45
544;0;86.99;29.92;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;220.0;17.7;8085.0;1.0;74.0;74.0;0.0;0.0;0.212;0.212;1.3;2.0;2531.0;183.0;189.0;6.0;88.0;76.0;7.2;;0.8;2.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.55
545;0;50.93;36.76;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;230.0;12.31;5570.0;0.75;537.0;1537.0;74.0;181.0;0.742;2.63;0.9;1.0;;;;9.0;142.0;160.0;4.6;7.0;2.2;2.2;0.0;0.0;;0.0;0.0;0.0;0.0;0.595
