Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
68,4,35,3.1887837525285203
68,5,321,3.3316870956839293
69,1,133,4.532766092405462
69,2,207,4.577859396120565
69,3,226,5.057117476911112
69,4,1,5.106626188253803
69,5,318,5.156855914388418
70,1,29,1.6445293012922786
70,2,281,1.8217077190241977
70,3,252,2.243790349662637
70,4,124,2.3268595848833664
70,5,127,2.3688673581171042
71,1,78,4.672055009074632
71,2,153,5.292343497715799
71,3,60,5.326378981714292
71,4,49,5.380609060196558
71,5,172,5.454362487434384
72,1,102,8.10087838969372
72,2,100,8.216528391025498
72,3,201,8.281511724760993
72,4,312,8.425948117955596
72,5,206,8.503654597832424
73,1,214,1.5883820389941026
73,2,131,1.9897546333856664
73,3,62,2.0970740666268908
73,4,47,2.2159043439453123
73,5,141,2.3134489872765345
74,1,51,1.7550376093785534
74,2,79,2.121053223986552
74,3,16,2.1398211391682596
74,4,58,2.360411936424137
74,5,234,2.408074255055789
75,1,280,5.177917277880646
75,2,143,5.830371551965709
75,3,48,5.959064138737734
75,4,98,6.411124843491641
75,5,268,6.512772988197134
76,1,88,1.9668251405825383
76,2,234,2.091789813693942
76,3,51,2.421104229718397
76,4,315,2.4353423789904394
76,5,58,2.5150470837306282
77,1,170,3.060380486280432
77,2,46,3.1776730445900325
77,3,138,3.4089841586281224
77,4,159,3.4350181424269266
77,5,113,3.7949738608174757
78,1,17,3.7068253224359657
78,2,172,3.7306676805572025
78,3,190,3.743192251035601
78,4,173,3.780427133234711
78,5,254,3.8554749717969727
79,1,51,1.4491216344135398
79,2,74,2.121053223986552
79,3,16,2.3478592219684162
79,4,58,2.4074077391703774
79,5,52,2.5491962993858572
80,1,192,1.6115129912549204
80,2,85,1.7746910909482163
80,3,202,2.760113387699307
80,4,152,3.136124119367306
80,5,115,3.383437942735862
81,1,99,18.184266932722444
81,2,128,18.310211750864188
81,3,250,18.422852088980868
81,4,255,18.4308940891567
81,5,202,18.43251714871683
82,1,103,5.6034450334849915
82,2,194,6.281544550781991
82,3,222,6.619844791449862
82,4,156,6.762389641235495
82,5,64,6.894875693843509
83,1,52,2.7997602821908427
83,2,16,3.3396806528987613
83,3,64,3.5533566224232085
83,4,44,3.580359642575774
83,5,198,3.6375455475505105
84,1,200,1.5076106936268208
84,2,106,1.6201117121067965
84,3,253,1.7442511326218157
84,4,180,1.8777471989464614
84,5,261,2.0018343709443833
85,1,80,1.7746910909482163
85,2,192,2.317122672365567
85,3,202,2.8003497234294326
85,4,115,2.95435307902075
85,5,152,3.166488989933391
86,1,15,1.3641230637926767
86,2,158,3.8080449826566523
86,3,228,3.8965222770950825
86,4,233,3.931122928768108
86,5,149,3.94756612268937
87,1,50,9.161364647360372
87,2,292,9.161590505364414
87,3,30,9.701244697209987
87,4,186,9.98323132957206
87,5,32,10.136065963219952
88,1,58,1.818957785558567
88,2,76,1.9668251405825383
88,3,274,2.5820158356585132
88,4,306,2.6457340896147614
88,5,160,2.7063284826860614
89,1,92,3.2788546371290086
89,2,250,3.6587487830870575
89,3,119,3.664106033919241
89,4,90,3.8645719006823773
89,5,127,4.144972397086085
90,1,119,3.433417291907879
90,2,157,3.510106380867662
90,3,218,3.576498908479253
90,4,311,3.6461967156560484
90,5,136,3.750742571024745
91,1,298,3.115935656706322
91,2,212,3.653015229812806
91,3,101,4.0313609421839045
91,4,4,4.106115626238575
91,5,152,4.236100068593915
92,1,89,3.2788546371290086
92,2,189,4.098117887510659
92,3,90,4.3557586146957235
92,4,311,4.513818787876863
92,5,166,4.519563220434578
93,1,109,1.3707714243336033
93,2,45,1.377019099746109
93,3,114,1.73711088164733
93,4,305,2.0458705286089307
93,5,96,2.3715694680785147
94,1,57,5.376103526961799
94,2,222,5.517153789787208
94,3,196,5.65923882116678
94,4,108,5.694028608322912
94,5,2,5.732119784884935
95,1,270,0.18067345917083039
95,2,258,2.080198811633578
95,3,179,2.254447290498855
95,4,251,2.338570512504554
95,5,53,2.6422462616963323
96,1,162,1.909716042713709
96,2,305,2.017860907563925
96,3,45,2.267849734201955
96,4,114,2.2779890793274906
96,5,93,2.3715694680785147
97,1,197,2.0164607378802093
97,2,180,2.141171324912123
97,3,147,2.236772556003575
97,4,253,2.4648631228099194
97,5,194,2.4733377844841877
98,1,22,5.9148359789748355
98,2,280,6.191629201453262
98,3,143,6.327035487030456
98,4,227,6.373614597270877
98,5,268,6.385621735347778
99,1,284,3.0979945561537265
99,2,128,3.1098599417874384
99,3,255,3.1588253331094287
99,4,126,3.2200376449031287
99,5,202,3.297357250214371
100,1,19,2.9243105401834892
100,2,204,3.782623322819411
100,3,258,4.093008108058137
100,4,312,4.254318905638418
100,5,226,4.410415848084649
101,1,169,1.9778922766907379
101,2,212,2.0021025925188924
101,3,129,2.8193398520692656
101,4,141,2.900639222455089
101,5,45,2.911544684927261
102,1,201,4.209570837173868
102,2,244,4.579176263488335
102,3,203,4.7283359462343
102,4,206,4.80939805524858
102,5,308,4.834913560414542
103,1,194,3.6897502468550623
103,2,293,3.7047275063703813
103,3,156,3.7207806441556692
103,4,159,3.791500477526966
103,5,31,3.8550473122267026
104,1,178,5.175452428005325
104,2,230,5.309803743386337
104,3,309,5.455374891726306
104,4,311,5.569919504537927
104,5,218,5.594166522706878
105,1,123,7.946946639006255
105,2,48,8.331135737866724
105,3,266,8.809737133329609
105,4,163,9.02359833693932
105,5,69,9.502819684374108
106,1,84,1.6201117121067965
106,2,321,2.0134215163676488
106,3,200,2.151149115332322
106,4,253,2.3266267048920226
106,5,182,2.3876445136948337
107,1,42,1.6228069667038323
107,2,188,2.1904710790689403
107,3,314,2.631639421147758
107,4,132,2.6524666089173206
107,5,261,2.7910109597863055
108,1,265,4.588852623547831
108,2,147,4.792666952666431
108,3,97,4.868138807511206
108,4,25,4.915213305707133
108,5,318,4.918274197748166
109,1,45,1.046022372676598
109,2,93,1.3707714243336033
109,3,305,1.9106141223884434
109,4,114,2.1400032317649864
109,5,162,2.3822494167303097
110,1,123,23.0696119403576
110,2,105,23.150118798529295
110,3,163,24.03166832664361
110,4,69,24.048622424372958
110,5,133,24.074974450050906
111,1,254,2.6582340846829795
111,2,298,2.9209844008129386
111,3,166,2.9285677034952
111,4,172,2.9958054997750456
111,5,17,3.03548715930206
112,1,264,4.964966554001398
112,2,142,5.313618900346925
112,3,78,5.315338509768727
112,4,220,5.437573946500508
112,5,187,5.478894686974855
113,1,160,1.444123338274018
113,2,211,1.5094290138761783
113,3,306,1.6256468948330904
113,4,260,1.8315548873134713
113,5,158,1.8480416978445968
114,1,93,1.73711088164733
114,2,109,2.1400032317649864
114,3,162,2.1930764037754424
114,4,96,2.2779890793274906
114,5,45,2.3454730839239306
115,1,141,2.042612208209271
115,2,47,2.4208390372820117
115,3,146,2.476244466364921
115,4,313,2.4849249592866323
115,5,62,2.6009597285479598
116,1,106,3.0030412005983385
116,2,8,3.015745292350938
116,3,321,3.21404532577381
116,4,35,3.219278902623462
116,5,182,3.3335059733539834
117,1,1,3.7684481712933326
117,2,16,3.9876897349219314
117,3,300,4.020031047780689
117,4,26,4.12220138259684
117,5,21,4.125016517046819
118,1,144,3.734671223016814
118,2,238,3.9689246297189524
118,3,25,4.03196477005807
118,4,18,4.2321031797666535
118,5,208,4.828447958229556
119,1,90,3.433417291907879
119,2,288,3.46467961989027
119,3,127,3.5955480115559437
119,4,122,3.601066788702664
119,5,281,3.614784399155889
120,1,35,2.2673095813633717
120,2,200,2.9930470288950852
120,3,197,3.1303999824797524
120,4,106,3.2832432605519974
120,5,209,3.3234881371888565
121,1,47,3.182406120857883
121,2,146,3.256836398567507
121,3,131,3.294395792288399
121,4,141,3.301104024813705
121,5,62,3.3299764175455833
122,1,127,2.0771775678601343
122,2,281,2.1408989881295124
122,3,136,2.20215404165903
122,4,288,2.3215632871998455
122,5,304,2.5344648276703077
123,1,69,6.94395971650717
123,2,105,7.946946639006255
123,3,48,8.166015072204967
123,4,133,8.169011126022628
123,5,163,8.545938773781254
124,1,127,1.4412217531047733
124,2,29,1.7159101921684645
124,3,281,1.8072224993004418
124,4,136,2.15138884410299
124,5,70,2.3268595848833664
125,1,132,2.5324408539319783
125,2,251,3.09546659227598
125,3,95,3.6086032598066127
125,4,270,3.624619954143203
125,5,42,3.8333188515234067
126,1,284,0.9510107234074531
126,2,171,1.120723096754719
126,3,0,1.1345085180864314
126,4,303,1.4417504477328618
126,5,255,1.448972255265357
127,1,281,1.1120050098793979
127,2,136,1.2712624847187235
127,3,124,1.4412217531047733
127,4,288,1.4840669181087531
127,5,29,2.0713139428019036
128,1,284,1.584281925987448
128,2,126,1.7290849912563047
128,3,0,1.7475067690471497
128,4,202,1.791961055763375
128,5,255,1.8362872965064956
129,1,101,2.8193398520692656
129,2,162,3.653681921308921
129,3,96,3.691511550363263
129,4,169,3.6930906024218224
129,5,224,3.7879797574489276
130,1,159,2.0735895653659613
130,2,232,2.6260506711311025
130,3,46,2.6530243967036378
130,4,10,2.8011305635412413
130,5,138,2.977546622428829
131,1,146,0.6919579525033221
131,2,62,1.0262768407722644
131,3,47,1.0845628096091133
131,4,214,1.2664488163489542
131,5,275,1.3842149473008756
132,1,125,2.5324408539319783
132,2,107,2.6524666089173206
132,3,95,2.745473425776796
132,4,270,2.7531612647451738
132,5,42,2.9838577027714575
133,1,69,4.532766092405462
133,2,1,4.543112655925255
133,3,279,4.562214718089466
133,4,117,4.698207573210828
133,5,318,4.855964785682391
134,1,187,4.9336252281434865
134,2,142,4.9997777211769545
134,3,119,5.023943981865229
134,4,264,5.133594893220979
134,5,309,5.432767951424487
135,1,321,2.6059690180282766
135,2,106,2.7847706369915057
135,3,35,2.910197572481541
135,4,253,3.026680841609013
135,5,39,3.1891169462560125
136,1,127,1.2712624847187235
136,2,288,1.608791613499216
136,3,281,1.9894472987505545
136,4,124,2.15138884410299
136,5,122,2.20215404165903
137,1,254,2.2831015408730226
137,2,190,2.625582926182412
137,3,17,2.713613148835267
137,4,172,2.9416880887906833
137,5,127,3.1414306082238737
138,1,159,2.2542044883344725
138,2,170,2.3643169919941243
138,3,46,2.6601663690287705
138,4,269,2.6777188552866917
138,5,56,2.764368843606297
139,1,198,2.7590900544260926
139,2,314,2.8541384584157177
139,3,260,2.9556789290133247
139,4,64,3.007771760836584
139,5,43,3.1549376677473537
140,1,164,3.8433596156139016
140,2,309,4.326433970116642
140,3,86,4.617375371302986
140,4,273,4.857439307205773
140,5,15,4.930127574496766
141,1,47,1.414126682915584
141,2,214,1.5689874357543472
141,3,131,1.6128826058910157
141,4,146,1.6437861052706062
141,5,62,1.982359343099947
142,1,60,3.971588772789251
142,2,13,4.041910294025573
142,3,229,4.0553371917506835
142,4,228,4.088524720409547
142,5,78,4.121400862862806
143,1,75,5.830371551965709
143,2,219,5.941902914401557
143,3,268,6.257689445241613
143,4,48,6.319740945708664
143,5,280,6.325588031274256
144,1,238,2.7579345391441437
144,2,2,3.468115351519676
144,3,316,3.5462791053440603
144,4,227,3.6094756869669853
144,5,118,3.734671223016814
145,1,115,4.617061879612809
145,2,228,4.685099987532605
145,3,13,4.870087343512199
145,4,60,5.056191384347069
145,5,290,5.113852768005696
146,1,131,0.6919579525033221
146,2,62,0.9565910973500176
146,3,47,1.1235077646492744
146,4,275,1.1861687536067689
146,5,214,1.5783331512936105
147,1,97,2.236772556003575
147,2,21,2.6623872379673483
147,3,318,2.664198445178115
147,4,261,2.748232716320725
147,5,197,2.858932847152498
148,1,33,1.5864549576468219
148,2,306,1.8136638326755838
148,3,315,1.8565812789717568
148,4,233,1.908400686217097
148,5,260,1.9815224134190712
149,1,15,3.264163688447939
149,2,88,3.8649952065672926
149,3,76,3.8710086916282354
149,4,264,3.934669872703894
149,5,58,3.946408764722462
150,1,126,1.8364838967644597
150,2,284,1.972551579176594
150,3,255,2.098982708645752
150,4,303,2.1218101540802277
150,5,171,2.1827878874809676
151,1,285,1.6073401809812706
151,2,158,1.6864475727609338
151,3,260,1.8217202544433446
151,4,315,1.878575190193631
151,5,33,2.04565667203628
152,1,192,2.791485928903061
152,2,80,3.136124119367306
152,3,85,3.166488989933391
152,4,202,3.2111790695378915
152,5,173,3.260413604081939
153,1,172,1.7455418728166947
153,2,173,2.5050281356833195
153,3,17,2.725846447888956
153,4,190,2.9487258753254624
153,5,4,3.012499960676901
154,1,247,12.891705675389215
154,2,37,14.062239871897129
154,3,82,14.389909455200128
154,4,65,14.881707890046089
154,5,123,15.78545935697343
155,1,268,5.330160723565187
155,2,219,6.317652163505268
155,3,217,6.67664225117786
155,4,92,6.905644839075093
155,5,75,7.040513515811061
156,1,291,1.4392118230255577
156,2,300,1.6023724867446651
156,3,289,1.8446309469823507
156,4,21,1.9935767067158525
156,5,315,2.102871946991805
157,1,29,2.1619892137004157
157,2,167,2.465810794454598
157,3,136,2.5203321551382687
157,4,317,2.6391149764752604
157,5,124,2.8020339308615063
158,1,233,1.2345222986336082
158,2,260,1.2354651311273566
158,3,306,1.2465224909666983
158,4,160,1.3910458800326706
158,5,285,1.4844708997918943
159,1,130,2.0735895653659613
159,2,138,2.2542044883344725
159,3,46,2.262526569637425
159,4,225,2.727779346437886
159,5,55,2.7798914643087436
160,1,306,1.182332542685539
160,2,158,1.3910458800326706
160,3,260,1.4307229428132402
160,4,113,1.444123338274018
160,5,33,1.5922855606451012
161,1,257,2.3030450636083764
161,2,167,3.191160689507931
161,3,63,3.8672572492014887
161,4,317,3.8965363360111844
161,5,271,3.974284413803193
162,1,96,1.909716042713709
162,2,114,2.1930764037754424
162,3,305,2.218259881929905
162,4,45,2.349836682512464
162,5,109,2.3822494167303097
163,1,133,7.79918546841763
163,2,94,7.99250600915016
163,3,69,8.18070879792353
163,4,318,8.34312390664628
163,5,196,8.446723042168868
164,1,309,2.2112388585780285
164,2,140,3.8433596156139016
164,3,216,4.467457946144267
164,4,218,4.722925394288461
164,5,89,5.192302696118051
165,1,206,1.732255946052791
165,2,201,2.691299400641016
165,3,9,2.9521279017411537
165,4,244,3.7230442595036486
165,5,235,4.326304925036341
166,1,304,1.4507195047858574
166,2,11,1.9635533819665723
166,3,303,1.9807014561220877
166,4,0,2.085885116860083
166,5,297,2.2507479659924217
167,1,29,2.377255141281617
167,2,317,2.4442873526794826
167,3,157,2.465810794454598
167,4,136,2.8677175074708354
167,5,124,2.9837919701684634
168,1,204,3.7751797684070674
168,2,10,3.966460390052881
168,3,19,4.238650915468559
168,4,232,4.254002582788979
168,5,55,4.279055985120058
169,1,101,1.9778922766907379
169,2,212,2.2270198416531177
169,3,45,2.4426780742659937
169,4,214,2.5937399169655713
169,5,305,2.632565853795207
170,1,138,2.3643169919941243
170,2,159,2.9487768159307928
170,3,77,3.060380486280432
170,4,113,3.0822673052659892
170,5,56,3.1187761314314266
171,1,284,1.06313475557807
171,2,126,1.120723096754719
171,3,303,1.2580306769237946
171,4,255,1.4984058699479217
171,5,0,1.576245588256401
172,1,153,1.7455418728166947
172,2,17,2.193639419321435
172,3,254,2.397150258035887
172,4,173,2.6779603570476205
172,5,4,2.771660659086209
173,1,190,1.7376661992348335
173,2,17,1.9597138747318132
173,3,153,2.5050281356833195
173,4,299,2.5471770788361114
173,5,172,2.6779603570476205
174,1,72,8.785946345596257
174,2,217,8.801324536821726
174,3,98,9.016839558926065
174,4,280,9.330870511801914
174,5,22,9.374950088089848
175,1,266,5.053786984043711
175,2,231,8.480087098207322
175,3,100,8.824579844918404
175,4,178,9.069887968589754
175,5,217,9.083184982949259
176,1,275,2.9615187676743924
176,2,47,2.966535299834748
176,3,131,3.02883941548659
176,4,146,3.0558465306559737
176,5,224,3.1738096923923775
177,1,208,3.077603725862776
177,2,18,3.884626673726832
177,3,238,4.227568697645254
177,4,295,4.22868854371527
177,5,204,4.612112273745684
178,1,262,4.294212379330788
178,2,104,5.175452428005325
178,3,273,5.2955030057765775
178,4,164,5.904517695019865
178,5,119,5.982906869789558
179,1,258,2.1236102120404325
179,2,95,2.254447290498855
179,3,270,2.26312975423572
179,4,251,2.765440615446881
179,5,147,3.051089970569737
180,1,182,1.563086721413273
180,2,253,1.695660004791983
180,3,84,1.8777471989464614
180,4,197,2.1066275929030662
180,5,97,2.141171324912123
181,1,61,1.7792279616214894
181,2,210,2.069760080596939
181,3,45,2.53000218945564
181,4,109,2.5483635937043667
181,5,127,2.706072141486314
182,1,267,1.21812757728394
182,2,180,1.563086721413273
182,3,321,2.0828901677888108
182,4,113,2.307675867456021
182,5,106,2.3876445136948337
183,1,24,3.9197374515909718
183,2,95,4.522771854395643
183,3,270,4.527092040271097
183,4,251,4.556776300756964
183,5,237,4.693927050290048
184,1,244,3.4517607354828894
184,2,203,3.7409372108723367
184,3,308,4.009972382001977
184,4,201,4.1471275305979445
184,5,165,4.498499329889006
185,1,291,2.064522502678908
185,2,233,2.385797134088345
185,3,289,2.4229813332451613
185,4,156,2.4318431279033086
185,5,300,2.523287696545595
186,1,30,5.942885329034491
186,2,235,6.182429061185084
186,3,50,6.657043650268272
186,4,308,7.039248394450979
186,5,116,7.182585207083269
187,1,228,4.108626439562132
187,2,13,4.3958157951018615
187,3,27,4.562524739172585
187,4,90,4.738060665232245
187,5,290,4.870779531197
188,1,107,2.1904710790689403
188,2,172,3.0502014191644657
188,3,314,3.1957620972574676
188,4,42,3.2517762122986213
188,5,132,3.26647215087083
189,1,67,3.0415973909470697
189,2,250,3.307336909101316
189,3,66,3.4740648468040347
189,4,23,3.832313461771371
189,5,317,3.9423740804154206
190,1,17,1.385336488204154
190,2,173,1.7376661992348335
190,3,299,2.4264283632287564
190,4,137,2.625582926182412
190,5,254,2.670993998848734
191,1,204,2.2554843155133772
191,2,159,4.053571091290024
