,Mean,Median,Std,Min,Max
Euclidean Distance,6.953996128371797,6.243324984225449,3.2561903928670755,0.0,31.335403115198595
Cosine Similarity,0.024424606934189796,-0.011784065514802933,0.26724210381507874,-0.6678192019462585,1.0000003576278687
Mahalanobis Distance,7.35914996502855,6.752163868283448,2.96389194399608,0.0,25.331412272570635
